feature,importance
categorical__work_title_jp_機動戦士ガンダム外伝 THE BLUE DESTINY,3.731419204062473e-05
categorical__work_title_jp_機動戦士ガンダム CROSS DIMENSION 0079 死にゆく者たちへの祈り,3.56924098756707e-05
categorical__affiliation_context_jp_木星帝国,3.3923093712853226e-05
categorical__work_title_jp_機動戦士ガンダム シルエットフォーミュラ91,3.336108265579683e-05
categorical__affiliation_context_jp_宇宙海賊ビシディアン,3.1221678914189934e-05
categorical__affiliation_context_jp_ライブラリアン,3.098165093186379e-05
categorical__affiliation_context_jp_地球連邦軍法務局,2.965540553793344e-05
categorical__work_title_jp_新機動戦記ガンダムW デュアルストーリー G-UNIT,2.625820829825127e-05
categorical__work_title_jp_機動戦士ガンダム00I,2.5360601450029593e-05
numeric__is_named_pilot_or_fighter_proxy,2.527376937703205e-05
categorical__affiliation_context_jp_第一世代,2.4308454902638035e-05
categorical__affiliation_context_jp_トレジャースターのクルー,2.3509649696098625e-05
categorical__work_title_jp_機動戦士ガンダムAGE トレジャースター,2.3346832934316537e-05
categorical__work_title_jp_機動新世紀ガンダムX〜UNDER THE MOONLIGHT〜,1.7955197425865285e-05
categorical__work_title_jp_ガンダムビルドファイターズ炎,1.6440119007757372e-05
categorical__work_title_jp_機動戦士ガンダム00F,1.62719044754955e-05
categorical__affiliation_context_jp_ニューディサイズ,1.6054676972564533e-05
categorical__affiliation_context_jp_聖鳳学園ガンプラバトル部チーム「トライ・ファイターズ」及び関係者,1.5959298119610443e-05
categorical__work_title_jp_模型戦士ガンプラビルダーズ ビギニングG,1.4777194869011287e-05
categorical__affiliation_context_jp_イノベイド,1.2631261688783356e-05
categorical__work_title_jp_機動戦士ガンダム 水星の魔女 ヴァナディースハート,1.2388210011830733e-05
categorical__work_title_jp_機動戦士ガンダム 鉄血のオルフェンズ ウルズハント,1.168677323229566e-05
categorical__affiliation_context_jp_OZプライズ,1.1184447849952429e-05
categorical__work_title_jp_ガンダムビルドファイターズD（ドキュメント） / A（アメイジング） / AR（アメイジングレディ）,1.1053375269258589e-05
categorical__work_title_jp_機動戦士ガンダム 水星の魔女（小説）,8.736946598016965e-06
categorical__affiliation_context_jp_エコール,7.074150674598536e-06
categorical__work_title_jp_機動戦士ガンダム00P,6.638095827016609e-06
categorical__work_title_jp_SDガンダム ムシャジェネレーション,6.579979915456793e-06
categorical__work_title_jp_新機動戦記ガンダムW EPISODE ZERO,4.7158175073136545e-06
categorical__affiliation_context_jp_天宮,4.100083081074785e-06
categorical__affiliation_context_jp_マーシャン,2.8950597466128986e-06
categorical__work_title_jp_ガンダムビルドファイターズ プラモダイバー キット&ビルト,2.662310897160532e-06
numeric__character_name_jp_is_known,0.0
numeric__raw_name_jp_is_known,0.0
numeric__character_name_en_is_known,0.0
numeric__character_name_en_char_len,0.0
categorical__voice_actor_jp_Unknown,0.0
numeric__has_voice_actor_jp,0.0
